approved_symbol,key,value
ABCB1,ABC20,CD243
ABCB1,CD243,CD243
ABCB1,CLCS,CD243
ABCB1,GP170,CD243
ABCB1,MDR1,CD243
ABCB1,PGP,CD243
ABCB1,PGY1,CD243
ABCB1,ABCB1,CD243
ABCG2,ABCP,CD338
ABCG2,BCRP,CD338
ABCG2,CD338,CD338
ABCG2,EST157481,CD338
ABCG2,MXR,CD338
ABCG2,ABCG2,CD338
ACE,ACE1,CD143
ACE,CD143,CD143
ACE,DCP1,CD143
ACE,ACE,CD143
ACKR1,CCBP1,CD234
ACKR1,CD234,CD234
ACKR1,DARC,CD234
ACKR1,DFY,CD234
ACKR1,GPD,CD234
ACKR1,ACKR1,CD234
ADAM10,CD156C,CD156C
ADAM10,HST18717,CD156C
ADAM10,KUZ,CD156C
ADAM10,MADM,CD156C
ADAM10,ADAM10,CD156C
ADAM17,CD156B,CD156B
ADAM17,CSVP,CD156B
ADAM17,TACE,CD156B
ADAM17,ADAM17,CD156B
ADAM8,CD156,CD156
ADAM8,CD156A,CD156
ADAM8,MS2,CD156
ADAM8,ADAM8,CD156
ADGRE2,CD312,CD312
ADGRE2,EMR2,CD312
ADGRE2,ADGRE2,CD312
ADGRE5,CD97,CD97
ADGRE5,TM7LN1,CD97
ADGRE5,ADGRE5,CD97
AICDA,AID,CDA2
AICDA,ARP2,CDA2
AICDA,CDA2,CDA2
AICDA,HIGM2,CDA2
AICDA,AICDA,CDA2
AKR1C4,3ALPHAHSD,CDR
AKR1C4,C11,CDR
AKR1C4,CHDR,CDR
AKR1C4,DD4,CDR
AKR1C4,HAKRA,CDR
AKR1C4,MGC22581,CDR
AKR1C4,AKR1C4,CDR
ALCAM,CD166,CD166
ALCAM,MEMD,CD166
ALCAM,ALCAM,CD166
ALG1,CDG1K,CDG1K
ALG1,HMAT1,CDG1K
ALG1,HMT1,CDG1K
ALG1,MAT1,CDG1K
ALG1,ALG1,CDG1K
ALG11,CDG1P,CDG1P
ALG11,KIAA0266,CDG1P
ALG11,ALG11,CDG1P
ALG12,CDG1G,CDG1G
ALG12,ECM39,CDG1G
ALG12,ALG12,CDG1G
ALG13,CDG1S,CDG1S
ALG13,CXORF45,CDG1S
ALG13,FLJ23018,CDG1S
ALG13,GLT28D1,CDG1S
ALG13,MDS031,CDG1S
ALG13,TDRD13,CDG1S
ALG13,YGL047W,CDG1S
ALG13,ALG13,CDG1S
ALG2,CDG1I,CDG1I
ALG2,CDGII,CDG1I
ALG2,FLJ14511,CDG1I
ALG2,HALPG2,CDG1I
ALG2,NET38,CDG1I
ALG2,ALG2,CDG1I
ALG3,CDGS4,CDGS4
ALG3,D16ERTD36E,CDGS4
ALG3,NOT56,CDGS4
ALG3,NOT56L,CDGS4
ALG3,ALG3,CDGS4
ALK,CD246,CD246
ALK,ALK,CD246
ANGPTL7,ANGX,CDT6
ANGPTL7,CDT6,CDT6
ANGPTL7,ANGPTL7,CDT6
ANPEP,CD13,CD13
ANPEP,GP150,CD13
ANPEP,P150,CD13
ANPEP,PEPN,CD13
ANPEP,ANPEP,CD13
APOBEC1,APOBEC1,CDAR1
APOBEC1,BEDP,CDAR1
APOBEC1,CDAR1,CDAR1
APOBEC1,HEPR,CDAR1
ARHGAP1,CDC42GAP,CDC42GAP
ARHGAP1,P50RHOGAP,CDC42GAP
ARHGAP1,RHOGAP,CDC42GAP
ARHGAP1,ARHGAP1,CDC42GAP
ARHGAP31,CDGAP,CDGAP
ARHGAP31,ARHGAP31,CDGAP
ARSE,CDPX,CDPX
ARSE,CDPX1,CDPX
ARSE,ARSE,CDPX
ART1,ART2,CD296
ART1,CD296,CD296
ART1,ART1,CD296
ART4,CD297,CD297
ART4,DOK1,CD297
ART4,ART4,CD297
ATP1B3,CD298,CD298
ATP1B3,FLJ29027,CD298
ATP1B3,ATP1B3,CD298
B3GAT1,CD57,CD57
B3GAT1,GLCATP,CD57
B3GAT1,HNK1,CD57
B3GAT1,LEU7,CD57
B3GAT1,B3GAT1,CD57
BAK1,BAK,CDN1
BAK1,BCL2L7,CDN1
BAK1,CDN1,CDN1
BAK1,BAK1,CDN1
BCAM,CD239,CD239
BCAM,BCAM,CD239
BCAP31,6C6AG,CDM
BCAP31,BAP31,CDM
BCAP31,DXS1357E,CDM
BCAP31,BCAP31,CDM
BMPR1A,ACVRLK3,CD292
BMPR1A,ALK3,CD292
BMPR1A,CD292,CD292
BMPR1A,BMPR1A,CD292
BMPR1B,ALK6,CDW293
BMPR1B,CDW293,CDW293
BMPR1B,BMPR1B,CDW293
BOC,CDON2,CDON2
BOC,BOC,CDON2
BSG,CD147,CD147
BSG,EMMPRIN,CD147
BSG,EMPRIN,CD147
BSG,BSG,CD147
BST1,CD157,CD157
BST1,BST1,CD157
BST2,CD317,CD317
BST2,TETHERIN,CD317
BST2,BST2,CD317
BTLA,BTLA1,CD272
BTLA,CD272,CD272
BTLA,BTLA,CD272
BTN3A1,BT31,CD277
BTN3A1,BTF5,CD277
BTN3A1,BTN31,CD277
BTN3A1,CD277,CD277
BTN3A1,BTN3A1,CD277
C2CD5,CDP138,CDP138
C2CD5,KIAA0528,CDP138
C2CD5,C2CD5,CDP138
C5AR1,C5A,CD88
C5AR1,C5AR,CD88
C5AR1,C5R1,CD88
C5AR1,CD88,CD88
C5AR1,C5AR1,CD88
CALD1,HCAD,CDM
CALD1,LCAD,CDM
CALD1,CALD1,CDM
CAPNS1,30K,CDPS
CAPNS1,CANP,CDPS
CAPNS1,CANPS,CDPS
CAPNS1,CAPN4,CDPS
CAPNS1,CDPS,CDPS
CAPNS1,CAPNS1,CDPS
CBX2,CDCA6,CDCA6
CBX2,MGC10561,CDCA6
CBX2,CBX2,CDCA6
CCR1,CD191,CD191
CCR1,CMKBR1,CD191
CCR1,MIP1AR,CD191
CCR1,SCYAR1,CD191
CCR1,CCR1,CD191
CCR2,CCCKR2,CD192
CCR2,CD192,CD192
CCR2,CKR2,CD192
CCR2,CMKBR2,CD192
CCR2,FLJ78302,CD192
CCR2,MCP1R,CD192
CCR2,CCR2,CD192
CCR3,CCCKR3,CD193
CCR3,CD193,CD193
CCR3,CKR3,CD193
CCR3,CMKBR3,CD193
CCR3,CCR3,CD193
CCR4,CCCKR4,CD194
CCR4,CCR4,CD194
CCR4,CD194,CD194
CCR4,CHEMR13,CD194
CCR4,CKR4,CD194
CCR4,CMKBR4,CD194
CCR4,K55,CD194
CCR5,CCCKR5,CD195
CCR5,CD195,CD195
CCR5,CKR5,CD195
CCR5,CMKBR5,CD195
CCR5,IDDM22,CD195
CCR5,CCR5,CD195
CCR6,BN1,CD196
CCR6,CD196,CD196
CCR6,CKRL3,CD196
CCR6,CMKBR6,CD196
CCR6,DRY6,CD196
CCR6,GPRCY4,CD196
CCR6,GPR29,CD196
CCR6,STRL22,CD196
CCR6,CCR6,CD196
CCR7,BLR2,CD197
CCR7,CD197,CD197
CCR7,CDW197,CD197
CCR7,CMKBR7,CD197
CCR7,EBI1,CD197
CCR7,CCR7,CD197
CCR8,CDW198,CDW198
CCR8,CKRL1,CDW198
CCR8,CMKBR8,CDW198
CCR8,CMKBRL2,CDW198
CCR8,CY6,CDW198
CCR8,GPRCY6,CDW198
CCR8,TER1,CDW198
CCR8,CCR8,CDW198
CCR9,CDW199,CDW199
CCR9,GPR96,CDW199
CCR9,GPR28,CDW199
CCR9,CCR9,CDW199
CD101,IGSF2,CD101
CD101,CD101,CD101
CD109,CPAMD7,CD109
CD109,DKFZP762L1111,CD109
CD109,FLJ38569,CD109
CD109,CD109,CD109
CD14,CD14,CD14
CD151,PETA3,CD151
CD151,RAPH,CD151
CD151,SFA1,CD151
CD151,TSPAN24,CD151
CD151,CD151,CD151
CD160,BY55,CD160
CD160,NK28,CD160
CD160,CD160,CD160
CD163,M130,CD163
CD163,MM130,CD163
CD163,SCARI1,CD163
CD163,CD163,CD163
CD163L1,CD163B,CD163B
CD163L1,M160,CD163B
CD163L1,SCARI2,CD163B
CD163L1,WC1,CD163B
CD163L1,CD163L1,CD163B
CD164,DFNA66,CD164
CD164,MGC24,CD164
CD164,MUC24,CD164
CD164,CD164,CD164
CD164L2,CD164L2,CD164L2
CD177,HNA2A,CD177
CD177,NB1,CD177
CD177,PRV1,CD177
CD177,CD177,CD177
CD177P1,CD177P,CD177P
CD177P1,CD177P1,CD177P
CD180,LY64,CD180
CD180,LY78,CD180
CD180,RP105,CD180
CD180,CD180,CD180
CD19,CD19,CD19
CD1A,CD1A,CD1
CD1B,CD1B,CD1
CD1C,CD1C,CD1
CD1D,CD1D,CD1D
CD1E,CD1E,CD1E
CD2,SRBC,CD2
CD2,CD2,CD2
CD200,MOX1,CD200
CD200,MOX2,CD200
CD200,MRC,CD200
CD200,OX2,CD200
CD200,CD200,CD200
CD200R1,CD200R,CD200R
CD200R1,HCRTR2,CD200R
CD200R1,MOX2R,CD200R
CD200R1,OX2R,CD200R
CD200R1,CD200R1,CD200R
CD200R1L,CD200R2,CD200R2
CD200R1L,CD200RLA,CD200R2
CD200R1L,CD200R1L,CD200R2
CD207,CLEC4K,CD207
CD207,LANGERIN,CD207
CD207,CD207,CD207
CD209,CDSIGN,CD209
CD209,CLEC4L,CD209
CD209,DCSIGN,CD209
CD209,DCSIGN1,CD209
CD209,CD209,CD209
CD22,SIGLEC2,CD22
CD22,CD22,CD22
CD226,DNAM1,CD226
CD226,PTA1,CD226
CD226,TLISA1,CD226
CD226,CD226,CD226
CD24,CD24A,CD24
CD24,CD24,CD24
CD244,2B4,CD244
CD244,NAIL,CD244
CD244,NKR2B4,CD244
CD244,NMRK,CD244
CD244,SLAMF4,CD244
CD244,CD244,CD244
CD247,CD3H,CD3H
CD247,CD3Q,CD3H
CD247,CD3Z,CD3H
CD247,CD247,CD3H
CD248,CD164L1,CD248
CD248,TEM1,CD248
CD248,CD248,CD248
CD24P1,CD24L1,CD24L1
CD24P1,CD24P1,CD24L1
CD24P2,CD24L2,CD24L2
CD24P2,CD24P2,CD24L2
CD24P3,CD24L3,CD24L3
CD24P3,CD24P3,CD24L3
CD24P4,CD24L4,CD24L4
CD24P4,CD24P4,CD24L4
CD27,S152,CD27
CD27,TNFRSF7,CD27
CD27,TP55,CD27
CD27,CD27,CD27
CD27-AS1,CD27AS1,CD27AS1
CD274,B7H,CD274
CD274,B7H1,CD274
CD274,PDL1,CD274
CD274,PDCD1LG1,CD274
CD274,CD274,CD274
CD276,B7H3,CD276
CD276,B7RP2,CD276
CD276,CD276,CD276
CD28,CD28,CD28
CD2AP,CMS,CD2AP
CD2AP,CD2AP,CD2AP
CD2BP2,LIN1,CD2BP2
CD2BP2,PPP1R59,CD2BP2
CD2BP2,SNU40,CD2BP2
CD2BP2,U552K,CD2BP2
CD2BP2,CD2BP2,CD2BP2
CD300A,CMRF35H9,CD300A
CD300A,CMRF35H,CD300A
CD300A,IGSF12,CD300A
CD300A,IRC1,CD300A
CD300A,IRC2,CD300A
CD300A,IRP60,CD300A
CD300A,CD300A,CD300A
CD300C,CMRF35A,CD300C
CD300C,CMRF35,CD300C
CD300C,IGSF16,CD300C
CD300C,LIR,CD300C
CD300C,CD300C,CD300C
CD300E,CD300LE,CD300E
CD300E,CLM2,CD300E
CD300E,IREM2,CD300E
CD300E,CD300E,CD300E
CD300H,CD300H,CD300H
CD300LB,CLM7,CD300LB
CD300LB,TREM5,CD300LB
CD300LB,CD300LB,CD300LB
CD300LD,CD300D,CD300D
CD300LD,CMRF35A4,CD300D
CD300LD,CD300LD,CD300D
CD300LF,CD300F,CD300F
CD300LF,CLM1,CD300F
CD300LF,IGSF13,CD300F
CD300LF,IREM1,CD300F
CD300LF,NKIR,CD300F
CD300LF,CD300LF,CD300F
CD300LG,CLM9,CD300LG
CD300LG,TREM4,CD300LG
CD300LG,CD300LG,CD300LG
CD302,BIMLEC,CD302
CD302,CLEC13A,CD302
CD302,DCL1,CD302
CD302,KIAA0022,CD302
CD302,CD302,CD302
CD320,8D6,CD320
CD320,8D6A,CD320
CD320,CD320,CD320
CD33,FLJ00391,CD33
CD33,P67,CD33
CD33,SIGLEC3,CD33
CD33,CD33,CD33
CD34,CD34,CD34
CD36,GP3B,CD36
CD36,GP4,CD36
CD36,GPIV,CD36
CD36,SCARB3,CD36
CD36,CD36,CD36
CD37,TSPAN26,CD37
CD37,CD37,CD37
CD38,CD38,CD38
CD3D,T3D,CD3D
CD3D,CD3D,CD3D
CD3E,CD3E,CD3E
CD3EAP,ASE1,CD3EAP
CD3EAP,CAST,CD3EAP
CD3EAP,PAF49,CD3EAP
CD3EAP,CD3EAP,CD3EAP
CD3G,CD3G,CD3G
CD4,CD4,CD4
CD40,BP50,CD40
CD40,P50,CD40
CD40,TNFRSF5,CD40
CD40,CD40,CD40
CD40LG,CD154,CD154
CD40LG,CD40L,CD154
CD40LG,GP39,CD154
CD40LG,HCD40L,CD154
CD40LG,HIGM1,CD154
CD40LG,IMD3,CD154
CD40LG,TNFSF5,CD154
CD40LG,TRAP,CD154
CD40LG,CD40LG,CD154
CD44,CD44R,CD44
CD44,CSPG8,CD44
CD44,HCELL,CD44
CD44,MC56,CD44
CD44,MDU2,CD44
CD44,MDU3,CD44
CD44,MIC4,CD44
CD44,PGP1,CD44
CD44,CD44,CD44
CD44-AS1,RP168D184,CD44AS1
CD44-AS1,CD44AS1,CD44AS1
CD46,MCP,CD46
CD46,MGC26544,CD46
CD46,MIC10,CD46
CD46,TLX,CD46
CD46,TRA210,CD46
CD46,CD46,CD46
CD46P1,CD46P,CD46P
CD46P1,MCPL,CD46P
CD46P1,CD46P1,CD46P
CD47,IAP,CD47
CD47,MER6,CD47
CD47,OA3,CD47
CD47,CD47,CD47
CD48,BCM1,CD48
CD48,BLAST,CD48
CD48,HCD48,CD48
CD48,MCD48,CD48
CD48,SLAMF2,CD48
CD48,CD48,CD48
CD5,LEU1,CD5
CD5,CD5,CD5
CD52,CDW52,CD52
CD52,EDDM5,CD52
CD52,HE5,CD52
CD52,CD52,CD52
CD53,MOX44,CD53
CD53,TSPAN25,CD53
CD53,CD53,CD53
CD55,CROM,CD55
CD55,DAF,CD55
CD55,CD55,CD55
CD58,LFA3,CD58
CD58,CD58,CD58
CD59,163A5,CD59
CD59,EJ16,CD59
CD59,EJ30,CD59
CD59,EL32,CD59
CD59,G344,CD59
CD59,MIC11,CD59
CD59,MIN1,CD59
CD59,MIN2,CD59
CD59,MIN3,CD59
CD59,MSK21,CD59
CD59,P1820,CD59
CD59,CD59,CD59
CD5L,API6,CD5L
CD5L,SPALPHA,CD5L
CD5L,CD5L,CD5L
CD6,TP120,CD6
CD6,CD6,CD6
CD63,ME491,CD63
CD63,MLA1,CD63
CD63,TSPAN30,CD63
CD63,CD63,CD63
CD68,DKFZP686M18236,CD68
CD68,GP110,CD68
CD68,LAMP4,CD68
CD68,MACROSIALIN,CD68
CD68,SCARD1,CD68
CD68,CD68,CD68
CD69,CLEC2C,CD69
CD69,CD69,CD69
CD7,GP40,CD7
CD7,LEU9,CD7
CD7,TP40,CD7
CD7,TP41,CD7
CD7,CD7,CD7
CD70,CD27L,CD70
CD70,CD27LG,CD70
CD70,TNFSF7,CD70
CD70,CD70,CD70
CD72,CD72B,CD72
CD72,LYB2,CD72
CD72,CD72,CD72
CD74,DHLAG,CD74
CD74,CD74,CD74
CD79A,IGA,CD79A
CD79A,MB1,CD79A
CD79A,CD79A,CD79A
CD79B,B29,CD79B
CD79B,IGB,CD79B
CD79B,CD79B,CD79B
CD80,B71,CD80
CD80,CD28LG,CD80
CD80,CD28LG1,CD80
CD80,CD80,CD80
CD81,TAPA1,CD81
CD81,TSPAN28,CD81
CD81,CD81,CD81
CD81-AS1,CD81AS1,CD81AS1
CD82,IA4,CD82
CD82,KAI1,CD82
CD82,ST6,CD82
CD82,TSPAN27,CD82
CD82,CD82,CD82
CD83,BL11,CD83
CD83,HB15,CD83
CD83,CD83,CD83
CD83P1,B34I83,CD83P
CD83P1,CD83P,CD83P
CD83P1,HB15P,CD83P
CD83P1,CD83P1,CD83P
CD84,HCD84,CD84
CD84,MCD84,CD84
CD84,SLAMF5,CD84
CD84,CD84,CD84
CD86,B72,CD86
CD86,CD28LG2,CD86
CD86,CD86,CD86
CD8A,CD8,CD8
CD8A,CD8A,CD8
CD8B,CD8B1,CD8B
CD8B,CD8B,CD8B
CD8B2,CD8BP,CD8BP
CD8B2,CD8B2,CD8BP
CD9,BA2,CD9
CD9,MIC3,CD9
CD9,MRP1,CD9
